dblp_key,year,title,venue,members
conf/sbes/SilvaGSC18,2018,What are the differences between group and individual modeling when learning UML?,SBES,bruno-gadelha;igor-steinmacher;tayana-conte;williamson-silva
conf/fie/LimaGN18,2018,Using Awareness Information to Enhance Online Discussion Forums: A Systematic Mapping Study,FIE,marco-gerosa
conf/amcis/BertholdoMRGO18,2018,User engagement in an open collaboration community after the insertion of a game design element: An online field experiment,AMCIS,marco-gerosa
journals/pacmhci/WesselSSWPCG18,2018,The Power of Bots: Characterizing and Understanding Bots in OSS Projects,Proc. ACM Hum. Comput. Interact.,ana-paula-chaves;igor-steinmacher;igor-wiese;mairieli-wessel;marco-gerosa
journals/csur/SantanaCGKM17,2018,"Software Platforms for Smart Cities: Concepts, Requirements, Challenges, and a Unified Reference Architecture",ACM Comput. Surv.,ana-paula-chaves;marco-gerosa
conf/chi/ChavesG18,2018,Single or Multiple Conversational Agents?: An Interactional Coherence Comparison,CHI,ana-paula-chaves;marco-gerosa
conf/criwg/BertholdoMRG18,2018,Relations Between Actions Performed by Users and Their Engagement,CRIWG,marco-gerosa
journals/ese/PintoSDG18,2018,On the challenges of open-sourcing proprietary software projects,Empir. Softw. Eng.,igor-steinmacher;marco-gerosa
journals/cscw/BalaliSASG18,2018,Newcomers' Barriers. . . Is That All? An Analysis of Mentors' and Newcomers' Barriers in OSS Projects,Comput. Support. Cooperative Work.,igor-steinmacher;marco-gerosa
conf/oss/0001SG18,2018,Leaving Behind the Software History When Transitioning to Open Source: Reasons and Implications,OSS,igor-steinmacher;marco-gerosa
conf/iwpc/SantosG18,2018,Impacts of coding practices on readability,ICPC,marco-gerosa
conf/icse/AnicheTSW0SG18,2018,How modern news aggregators help development communities shape and share knowledge,ICSE,igor-steinmacher;igor-wiese;marco-gerosa
conf/icse/ZanattaMS18,2018,"Competence, Collaboration, and Time Management: Barriers and Recommendations for Crowdworkers",CSI-SE@ICSE,igor-steinmacher
journals/ese/AnicheBTGD18,2018,Code smells for Model-View-Controller architectures,Empir. Softw. Eng.,marco-gerosa
journals/jbcs/NeiraSW18,2018,Characterizing the hyperspecialists in the context of crowdsourcing software development,J. Braz. Comput. Soc.,anderson-neira;igor-steinmacher;igor-wiese
conf/sbes/VazMS18,2018,An empirical study on task documentation in software crowdsourcing: the case of the topcoder platform,SBES,igor-steinmacher
conf/icse/Steinmacher0WG18,2018,Almost there: a study on quasi-contributors in open source software projects,ICSE,igor-steinmacher;igor-wiese;marco-gerosa
conf/ihc/ToscaniGSM18,2018,A Gamification Proposal to Support the Onboarding of Newcomers in the FLOSScoach Portal,IHC,igor-steinmacher
conf/icse/DinizSGS17,2017,Using Gamification to Orient and Motivate Students to Contribute to OSS Projects,CHASE@ICSE,igor-steinmacher;marco-gerosa
journals/jss/WieseRSKOTG17,2017,Using contextual information to predict co-changes,J. Syst. Softw.,igor-steinmacher;igor-wiese;marco-gerosa
conf/sbes/WesselAOGW17,2017,Tweaking Association Rules to Optimize Software Change Recommendations,SBES,igor-wiese;mairieli-wessel;marco-gerosa
conf/csee/PintoFSG17,2017,Training Software Engineers Using Open-Source Software: The Professors' Perspective,CSEE&T,igor-steinmacher;marco-gerosa
conf/sbes/SilvaWSG17,2017,Students' Engagement in Open Source Projects: An Analysis of Google Summer of Code,SBES,igor-steinmacher;igor-wiese;jefferson-silva;marco-gerosa
conf/icsm/RobillardMTBCEG17,2017,On-demand Developer Documentation,ICSME,marco-gerosa
conf/csee/SilvaSC17,2017,Is It Better to Learn from Problems or Erroneous Examples?,CSEE&T,igor-steinmacher;tayana-conte;williamson-silva
conf/icsm/SilvaWGSG17,2017,How Long and How Much: What to Expect from Summer of Code Participants?,ICSME,igor-steinmacher;igor-wiese;jefferson-silva;marco-gerosa
journals/jisa/SteinmacherRFW17,2017,Free and open source software development: the end of the teenage years,J. Internet Serv. Appl.,igor-steinmacher
journals/software/ZanattaSMSP17,2017,Barriers Faced by Newcomers to Software-Crowdsourcing Projects,IEEE Softw.,igor-steinmacher
journals/sigsoft/BosseG16,2016,Why is programming so difficult to learn?: Patterns of Difficulties Related to Programming Learning Mid-Stage,ACM SIGSOFT Softw. Eng. Notes,marco-gerosa
conf/icsm/WieseSSTG16,2016,Who is Who in the Mailing List? Comparing Six Disambiguation Heuristics to Identify Multiple Addresses of a Participant,ICSME,igor-steinmacher;igor-wiese;marco-gerosa
conf/fie/BrandaoBG16,2016,Visual programming and automatic evaluation of exercises: An experience with a STEM course,FIE,marco-gerosa
conf/sigsoft/SarmaGSL16,2016,Training the future workforce through task curation in an OSS ecosystem,SIGSOFT FSE,igor-steinmacher;marco-gerosa
conf/scam/AnicheTZDG16,2016,SATT: Tailoring Code Metric Thresholds for Different Software Architectures,SCAM,marco-gerosa
conf/hci/BertholdoG16,2016,Promoting Engagement in Open Collaboration Communities by Means of Gamification,HCI (27),marco-gerosa
conf/icse/SteinmacherCTG16,2016,Overcoming open source project entry barriers with a portal for newcomers,ICSE,igor-steinmacher;marco-gerosa;tayana-conte
conf/wcre/PintoSG16,2016,More Common Than You Think: An In-depth Study of Casual Contributors,SANER,igor-steinmacher;marco-gerosa
conf/sbes/NascimentoSCSMT16,2016,Is a Picture worth a Thousand Words?: A Comparative Analysis of Using Textual and Graphical Approaches to Specify Use Cases,SBES,igor-steinmacher;tayana-conte;williamson-silva
conf/icsm/DiasSPCG16,2016,How Does the Shift to GitHub Impact Project Collaboration?,ICSME,igor-steinmacher;marco-gerosa
conf/sbes/AnicheGT16,2016,Developers' Perceptions on Object-Oriented Design and Architectural Roles,SBES,marco-gerosa
journals/isf/VreedeAVGW16,2016,Collaboration technology in teams and organizations: Introduction to the special issue,Inf. Syst. Frontiers,marco-gerosa
conf/hci/BertholdoKG16,2016,Agile Usability Patterns for User-Centered Design Final Stages,HCI (1),marco-gerosa
conf/icsm/AnicheBTDG16,2016,A Validated Set of Smells in Model-View-Controller Architectures,ICSME,marco-gerosa
journals/jwsr/OlivaGKSM16,2016,A Static Change Impact Analysis Approach based on Metrics and Visualizations to Support the Evolution of Workflow Repositories,Int. J. Web Serv. Res.,marco-gerosa
conf/sbes/AnicheOG15,2015,Why Statically Estimate Code Coverage is So Hard? A Report of Lessons Learned,SBES,marco-gerosa
conf/hicss/SteinmacherCG15,2015,Understanding and Supporting the Choice of an Appropriate Task to Start with in Open Source Software Communities,HICSS,igor-steinmacher;marco-gerosa;tayana-conte
conf/cscw/SteinmacherCGR15,2015,Social Barriers Faced by Newcomers Placing Their First Contribution in Open Source Software Projects,CSCW,igor-steinmacher;marco-gerosa;tayana-conte
conf/sbes/WieseRSKOG15,2015,Predicting Change Propagation from Repository Information,SBES,igor-steinmacher;igor-wiese;marco-gerosa
conf/icse/RabeloOSBSSC15,2015,Knowledge Management and Organizational Culture in a Software Organization - A Case Study,CHASE@ICSE,igor-steinmacher;tayana-conte
conf/sbes/SteinmacherWCG15,2015,Increasing the Self-Efficacy of Newcomers to Open Source Software Projects,SBES,igor-steinmacher;igor-wiese;marco-gerosa;tayana-conte
conf/issre/OlivaG15,2015,Experience report: How do structural dependencies influence change propagation? An empirical study,ISSRE,marco-gerosa
journals/cai/OlivaSGSWSO15,2015,Evolving the System's Core: A Case Study on the Identification and Characterization of Key Developers in Apache Ant,Comput. Informatics,marco-gerosa
journals/jisa/GerosaRBS15,2015,Editorial: Thematic series on software engineering from a social network perspective,J. Internet Serv. Appl.,marco-gerosa
journals/jbcs/AnicheG15,2015,Does test-driven development improve class design? A qualitative study on developers' perceptions,J. Braz. Comput. Soc.,marco-gerosa
conf/iceis/GeraldiOCS15,2015,Checklist-based Inspection of SMarty Variability Models - Proposal and Empirical Feasibility Study,ICEIS (2),igor-steinmacher;tayana-conte
conf/oss/WieseKROG15,2015,An Empirical Study of the Relation Between Strong Change Coupling and Defects Using History and Social Metrics in the Apache Aries Project,OSS,igor-wiese;marco-gerosa
journals/infsof/SteinmacherSGR15,2015,A systematic literature review on the barriers faced by newcomers to open source software projects,Inf. Softw. Technol.,igor-steinmacher;marco-gerosa
conf/criwg/WieseKJROG14,2014,Using Structural Holes Metrics from Communication Networks to Predict Change Dependencies,CRIWG,igor-wiese;marco-gerosa
conf/icse/SteinmacherWCGR14,2014,The hard life of open source software project newcomers,CHASE,igor-steinmacher;igor-wiese;marco-gerosa;tayana-conte
conf/promise/WieseCRSG14,2014,Social metrics included in prediction models on software engineering: a mapping study,PROMISE,igor-steinmacher;igor-wiese;marco-gerosa
conf/sbes/SteinmacherCCG14,2014,Preliminary Empirical Identification of Barriers Faced by Newcomers to Open Source Software Projects,SBES,ana-paula-chaves;igor-steinmacher;marco-gerosa;tayana-conte
conf/oss/SteinmacherG14,2014,How to Support Newcomers Onboarding to Open Source Software Projects,OSS,igor-steinmacher;marco-gerosa
conf/nca/LeiteSCGK14,2014,Deploying Large-Scale Service Compositions on the Cloud with the CHOReOS Enactment Engine,NCA,marco-gerosa
journals/eceasst/WieseJRSG14,2014,Comparing communication and development networks for predicting file change proneness: An exploratory study considering process and social metrics,Electron. Commun. Eur. Assoc. Softw. Sci. Technol.,igor-steinmacher;igor-wiese;marco-gerosa
conf/criwg/SteinmacherG14,2014,Choosing an Appropriate Task to Start with in Open Source Software Communities: A Hard Task,CRIWG,igor-steinmacher;marco-gerosa
conf/oss/SteinmacherSG14,2014,Barriers Faced by Newcomers to Open Source Projects: A Systematic Review,OSS,igor-steinmacher;marco-gerosa
journals/eswa/ChallcoGBI14,2014,Automated instructional design for CSCL: A hierarchical task network planning approach,Expert Syst. Appl.,marco-gerosa
conf/icsm/AnicheOG14,2014,Are the Methods in Your Data Access Objects (DAOs) in the Right Place? A Preliminary Study,MTD@ICSME,marco-gerosa
conf/icse/SteinmacherWCG13,2013,Why do newcomers abandon open source software projects?,CHASE@ICSE,ana-paula-chaves;igor-steinmacher;igor-wiese;marco-gerosa
conf/csmr/AnicheOG13,2013,What Do the Asserts in a Unit Test Tell Us about Code Quality? A Study on Open Source and Industrial Projects,CSMR,marco-gerosa
conf/iwpse/OlivaSWG13,2013,What can commit metadata tell us about design degradation?,IWPSE,igor-steinmacher;igor-wiese;marco-gerosa
conf/scam/SokolAG13,2013,MetricMiner: Supporting researchers in mining software repositories,SCAM,marco-gerosa
conf/sac/CampioloSBG13,2013,Evaluating the utilization of Twitter messages as a source of security alerts,SAC,marco-gerosa
journals/cscw/SteinmacherCG13,2013,Awareness Support in Distributed Software Development: A Systematic Review and Mapping of the Literature,Comput. Support. Cooperative Work.,ana-paula-chaves;igor-steinmacher;marco-gerosa
journals/soca/LeiteONGKM13,2013,A systematic literature review of service choreography adaptation,Serv. Oriented Comput. Appl.,marco-gerosa
conf/icws/OlivaGMS13,2013,A Change Impact Analysis Approach for Workflow Repository Management,ICWS,marco-gerosa
conf/euromicro/MatsuiMG12,2012,Using Virtual Machine Security to Reinforce Components Constraints,EUROMICRO-SEAA,marco-gerosa
conf/sbsi/VieiraSTTFHCS12,2012,The UbiBus Project: Using Context and Ubiquitous Computing to build Advanced Public Transportation Systems to Support Bus Passengers,SBSI,ana-paula-chaves;igor-steinmacher
conf/icse/SteinmacherWG12,2012,Recommending mentors to software project newcomers,RSSE@ICSE,igor-steinmacher;igor-wiese;marco-gerosa
conf/sbsc/SchwerzLWSGF12,2012,Prediction of Developer Participation in Issues of Open Source Projects,SBSC,igor-steinmacher;igor-wiese;marco-gerosa
conf/sbsc/SteinmacherWCG12,2012,Newcomers Withdrawal in Open Source Software Projects: Analysis of Hadoop Common Project,SBSC,ana-paula-chaves;igor-steinmacher;igor-wiese;marco-gerosa
conf/sbes/AnicheG12,2012,How the Practice of TDD Influences Class Design in Object-Oriented Systems: Patterns of Unit Tests Feedback,SBES,marco-gerosa
conf/criwg/OlivaSOSG12,2012,Characterizing Key Developers: A Case Study with Apache Ant,CRIWG,marco-gerosa
conf/sbsc/SantosCGB12,2012,Analysis of Security Messages Posted on Twitter,SBSC,marco-gerosa
conf/icgse/SilvaGWRS12,2012,An Extensible Service for Experts Recommendation on Distributed Software Development Projects,ICGSE Workshops,igor-steinmacher;igor-wiese;marco-gerosa
conf/sbsc/CalvaoPFG12,2012,A Taxonomy of Computer Mediated Conversation,SBSC,marco-gerosa
conf/icgse/OlivaG12,2012,A Method for the Identification of Logical Dependencies,ICGSE Workshops,marco-gerosa
conf/webmedia/OliveiraG12,2012,A domain engineering for content sharing collaborative features,WebMedia,marco-gerosa
conf/sbsc/NishiCS12,2012,A Collective Intelligence Based System for Visualizing Problems in Public Roads,SBSC,ana-paula-chaves;igor-steinmacher
conf/iwpse/OlivaSGS11,2011,Towards a classification of logical dependencies origins: a case study,EVOL/IWPSE,marco-gerosa
journals/jisa/IssarnyGHZVAGH11,2011,Service-oriented middleware for the Future Internet: state of the art and research directions,J. Internet Serv. Appl.,marco-gerosa
journals/cleiej/ChavesSLHB11,2011,OntoDiSENv1: an Ontology to Support Global Software Development,CLEI Electron. J.,ana-paula-chaves;igor-steinmacher
conf/sbes/OlivaG11,2011,On the Interplay between Structural and Logical Dependencies in Open-Source Software,SBES,marco-gerosa
journals/jisa/IssarnyGHZVAGH11a,2011,Erratum to: Service-oriented middleware for the Future Internet: state of the art and research directions,J. Internet Serv. Appl.,marco-gerosa
conf/criwg/OliveiraG11,2011,Collaborative Features in Content Sharing Web 2.0 Social Networks: A Domain Engineering Based on the 3C Collaboration Model,CRIWG,marco-gerosa
conf/icst/AnicheG10,2010,Most Common Mistakes in Test-Driven Development Practice: Results from an Online Survey with Developers,ICST Workshops,marco-gerosa
journals/ce/GerosaFPFL10,2010,Is the unfolding of the group discussion off-pattern? Improving coordination support in educational forums using mobile devices,Comput. Educ.,marco-gerosa
conf/criwg/SteinmacherCG10,2010,Awareness Support in Global Software Development: A Systematic Review Based on the 3C Collaboration Model,CRIWG,ana-paula-chaves;igor-steinmacher;marco-gerosa
conf/splc/GadelhaCGCFL10,2010,An Approach for Developing Component-Based Groupware Product Lines Using the Groupware Workbench,SPLC,bruno-gadelha;marco-gerosa
conf/seke/ChavesHVS10,2010,A Context Conceptual Model for a Distributed Software Development Environment,SEKE,ana-paula-chaves;igor-steinmacher
conf/cscwd/FuksRGPFL08,2008,Inter- and intra-relationships between communication coordination and cooperation in the scope of the 3C Collaboration Model,CSCWD,marco-gerosa
conf/seke/SteinmacherLH06,2006,Task Anticipation: A Quantitative Analysis Using Workflow Process Simulation,SEKE,igor-steinmacher
conf/sbsi/SteinmacherASH06,2006,GeCA: Uma Ferramenta de Engenharia Reversa e Geração Automática de Código,SBSI,igor-steinmacher
conf/criwg/GerosaPFL06,2006,Development of Groupware Based on the 3C Collaboration Model and Component Technology,CRIWG,marco-gerosa
conf/sbes/GerosaRFL06,2006,Component-Based Groupware Development Based on the 3C Collaboration Model,SBES,marco-gerosa
conf/cscwd/GerosaPRFL05,2005,Towards an engineering approach for groupware development: learning from the AulaNet LMS development,CSCWD (1),marco-gerosa
conf/cscl/GerosaPFL05,2005,No need to read messages right now: helping mediators to steer educational forums using statistical and visual information,CSCL,marco-gerosa
conf/cscl/PimentelGFL05,2005,Assessment of collaboration in online courses,CSCL,marco-gerosa
journals/ijcis/FuksRGL05,2005,Applying the 3C model to groupware development,Int. J. Cooperative Inf. Syst.,marco-gerosa
conf/csac/RaposoPGFL04,2004,Prescribing e-Learning Activities Using Workflow Technologies,Computer Supported Acitivity Coordination,marco-gerosa
conf/criwg/RaposoGF04,2004,Combining Communication and Coordination Toward Articulation of Collaborative Activities,CRIWG,marco-gerosa
conf/its/GerosaPFL04,2004,Analyzing Discourse Structure to Coordinate Educational Forums,Intelligent Tutoring Systems,marco-gerosa
conf/criwg/FuksMGL03,2003,Competency Management for Group Formation on the AulaNet Learning Environment,CRIWG,marco-gerosa
conf/cscwd/GerosaFRM02,2002,Using Groupware Tools to Extend the Organizational Memory wih Collaboration Aspects,CSCWD,marco-gerosa
conf/hicss/FuksGL02,2002,Groupware Technology for Cooperative Learning via the Internet,HICSS,marco-gerosa
conf/criwg/GerosaFL01,2001,Use of Categorization and Structuring of Messages in Order to Organize the Discussion and Reduce Information Overload in Asynchronous Textual Communication Tools,CRIWG,marco-gerosa
