dblp_key,year,title,venue,members
conf/wsese/CostalongaNBFSK25,2025,Can Machine Learning Support the Selection of Studies for Systematic Literature Review Updates?,WSESE@ICSE,igor-steinmacher;katia-romero-felizardo
conf/esem/FelizardoSSNSG25,2025,Assessing Diversity in Creating Seed Set for Snowballing Search for Systematic Literature Review in Software Engineering,ESEM,igor-steinmacher;katia-romero-felizardo;marco-gerosa
journals/scp/AracenaLSSG25,2025,Applying large language models to issue classification: Revisiting with extended data and new models,Sci. Comput. Program.,fabio-santos;igor-steinmacher;marco-gerosa
journals/ese/PaivaMPVEPWGSMB25,2025,Analyzing the adoption of database management systems throughout the history of open source projects,Empir. Softw. Eng.,igor-steinmacher;igor-wiese;joao-pimentel;marco-gerosa
conf/sbqs/QueirozMSCOG25,2025,An Approach to Assist the Design of User-Centered Solutions based on Generative AI,SBQS,bruno-gadelha;igor-steinmacher;tayana-conte
conf/sbes/SantosSCOG25,2025,AI-Generated User Stories: Are They Good Enough?,SBES,bruno-gadelha;igor-steinmacher;tayana-conte
conf/sbes/MacedoMBSMGC25,2025,"AI in the Design Thinking Toolbox: What to Recommend, When, and Why",SBES,bruno-gadelha;igor-steinmacher;maria-meireles;tayana-conte
conf/sbqs/SantosSCOG25,2025,Adoption of LLMs in Requirements Engineering: What Practitioners Are Worried About?,SBQS,bruno-gadelha;igor-steinmacher;tayana-conte
conf/aiware/CorreiaNCBCG0S24,2024,Unveiling the Potential of a Conversational Agent in Developer Support: Insights from Mozilla's PDF.js Project,AIware,alessandro-garcia;caio-vieira;daniel-coutinho;igor-steinmacher;joao-correia;marco-gerosa;morgan-nicholson
conf/icse/TrinkenreichGS24,2024,Unraveling the Drivers of Sense of Belonging in Software Delivery Teams: Insights from a Large-Scale Survey,ICSE,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/promise/CostaPSSAS24,2024,Sociotechnical Dynamics in Open Source Smart Contract Repositories: An Exploratory Data Analysis of Curated High Market Value Projects,PROMISE,igor-steinmacher
conf/scam/CorreiaCGMBOAPSGSA24,2024,On the Investigation of Exception Pull Request Characteristics: Exploring the Apache Ecosystem,SCAM,alessandro-garcia;caio-vieira;daniel-coutinho;igor-steinmacher;joao-correia;marco-gerosa
conf/icse/GarciaPFGSS24,2024,How to Support ML End-User Programmers through a Conversational Agent,ICSE,igor-steinmacher;joao-pimentel;marco-gerosa
conf/icse/ChoudhuriLSGS24,2024,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,ICSE,igor-steinmacher;marco-gerosa
journals/ese/GuerraGFWLGM24,2024,How do annotations affect Java code readability?,Empir. Softw. Eng.,igor-wiese;marco-gerosa
journals/infsof/FengKTSS24,2024,Guiding the way: A systematic literature review on mentoring practices in open source software projects,Inf. Softw. Technol.,bianca-trinkenreich;igor-steinmacher
conf/vl/SantosFGS24,2024,Game Elements to Engage Students Learning the Open Source Software Contribution Process,VL/HCC,igor-steinmacher;italo-santos;katia-romero-felizardo;marco-gerosa
conf/cain/0001SRSSM24,2024,"Developer Experiences with a Contextualized AI Coding Assistant: Usability, Expectations, and Outcomes",CAIN,igor-steinmacher
conf/esem/FelizardoSLDCB24,2024,Data extraction for systematic mapping study using a large language model - a proof-of-concept study in software engineering,ESEM,igor-steinmacher;katia-romero-felizardo;tayana-conte
journals/tosem/RobillardAEGLNNSSS24,2024,Communicating Study Design Trade-offs in Software Engineering,ACM Trans. Softw. Eng. Methodol.,igor-steinmacher
conf/esem/FelizardoLDCS24,2024,ChatGPT application in Systematic Literature Reviews in Software Engineering: an evaluation of its accuracy to support the selection activity,ESEM,igor-steinmacher;katia-romero-felizardo;tayana-conte
conf/esem/SteinmacherPF0G24,2024,Can ChatGPT emulate humans in software engineering surveys?,ESEM,alessandro-garcia;igor-steinmacher;jacob-penney;katia-romero-felizardo;marco-gerosa
journals/ase/GerosaTSS24,2024,Can AI serve as a substitute for human subjects in software engineering research?,Autom. Softw. Eng.,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/nlbse/AracenaLSSG24,2024,Applying Large Language Models to Issue Classification,NLBSE@ICSE,fabio-santos;igor-steinmacher;marco-gerosa
conf/icse/DavilaWSSKFN24,2024,An Industry Case Study on Adoption of AI-based Programming Assistants,ICSE-SEIP,igor-steinmacher;igor-wiese
